,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
32417,64845,NIFTY24FEB2625400CE,NIFTY,24FEB2026,2540000.000000,65,OPTIDX,NFO,5.000000
32418,64809,NIFTY24FEB2624500PE,NIFTY,24FEB2026,2450000.000000,65,OPTIDX,NFO,5.000000
32419,64842,NIFTY24FEB2625300PE,NIFTY,24FEB2026,2530000.000000,65,OPTIDX,NFO,5.000000
32420,64852,NIFTY24FEB2625500CE,NIFTY,24FEB2026,2550000.000000,65,OPTIDX,NFO,5.000000
32422,64857,NIFTY24FEB2625600PE,NIFTY,24FEB2026,2560000.000000,65,OPTIDX,NFO,5.000000
32423,64867,NIFTY24FEB2625850PE,NIFTY,24FEB2026,2585000.000000,65,OPTIDX,NFO,5.000000
32424,64907,NIFTY24FEB2626300CE,NIFTY,24FEB2026,2630000.000000,65,OPTIDX,NFO,5.000000
32425,64936,NIFTY24FEB2626450PE,NIFTY,24FEB2026,2645000.000000,65,OPTIDX,NFO,5.000000
32428,65056,NIFTY24FEB2626800CE,NIFTY,24FEB2026,2680000.000000,65,OPTIDX,NFO,5.000000
32429,65080,NIFTY24FEB2627100PE,NIFTY,24FEB2026,2710000.000000,65,OPTIDX,NFO,5.000000
32430,65106,NIFTY24FEB2627650PE,NIFTY,24FEB2026,2765000.000000,65,OPTIDX,NFO,5.000000
32431,65108,NIFTY24FEB2627700PE,NIFTY,24FEB2026,2770000.000000,65,OPTIDX,NFO,5.000000
32432,65116,NIFTY24FEB2627900PE,NIFTY,24FEB2026,2790000.000000,65,OPTIDX,NFO,5.000000
32433,65118,NIFTY24FEB2627950PE,NIFTY,24FEB2026,2795000.000000,65,OPTIDX,NFO,5.000000
32434,65128,NIFTY30DEC2522950PE,NIFTY,30DEC2025,2295000.000000,75,OPTIDX,NFO,5.000000
32435,65176,NIFTY30DEC2523400CE,NIFTY,30DEC2025,2340000.000000,75,OPTIDX,NFO,5.000000
32436,65197,NIFTY30DEC2523500PE,NIFTY,30DEC2025,2350000.000000,75,OPTIDX,NFO,5.000000
32439,65235,NIFTY30DEC2524100PE,NIFTY,30DEC2025,2410000.000000,75,OPTIDX,NFO,5.000000
32441,65271,NIFTY30DEC2524550PE,NIFTY,30DEC2025,2455000.000000,75,OPTIDX,NFO,5.000000
32442,65352,NIFTY30DEC2524950PE,NIFTY,30DEC2025,2495000.000000,75,OPTIDX,NFO,5.000000
32443,65353,NIFTY30DEC2525050CE,NIFTY,30DEC2025,2505000.000000,75,OPTIDX,NFO,5.000000
32444,65434,NIFTY30DEC2525200PE,NIFTY,30DEC2025,2520000.000000,75,OPTIDX,NFO,5.000000
32446,65571,NIFTY30DEC2525900CE,NIFTY,30DEC2025,2590000.000000,75,OPTIDX,NFO,5.000000
32447,65599,NIFTY30DEC2525900PE,NIFTY,30DEC2025,2590000.000000,75,OPTIDX,NFO,5.000000
32448,65620,NIFTY30DEC2525950PE,NIFTY,30DEC2025,2595000.000000,75,OPTIDX,NFO,5.000000
32449,65629,NIFTY30DEC2526150CE,NIFTY,30DEC2025,2615000.000000,75,OPTIDX,NFO,5.000000
32451,65751,NIFTY30DEC2527550CE,NIFTY,30DEC2025,2755000.000000,75,OPTIDX,NFO,5.000000
32452,65753,NIFTY30DEC2527600CE,NIFTY,30DEC2025,2760000.000000,75,OPTIDX,NFO,5.000000
32453,65759,NIFTY30DEC2527750CE,NIFTY,30DEC2025,2775000.000000,75,OPTIDX,NFO,5.000000
32454,65892,NIFTY29SEP2620000PE,NIFTY,29SEP2026,2000000.000000,75,OPTIDX,NFO,5.000000
32455,65893,NIFTY29SEP2621000CE,NIFTY,29SEP2026,2100000.000000,75,OPTIDX,NFO,5.000000
32456,65920,NIFTY29SEP2628000PE,NIFTY,29SEP2026,2800000.000000,75,OPTIDX,NFO,5.000000
32457,65921,NIFTY29SEP2629000CE,NIFTY,29SEP2026,2900000.000000,75,OPTIDX,NFO,5.000000
32458,65923,NIFTY29SEP2630000CE,NIFTY,29SEP2026,3000000.000000,75,OPTIDX,NFO,5.000000
32537,67783,NIFTY26DEC2824000PE,NIFTY,26DEC2028,2400000.000000,75,OPTIDX,NFO,5.000000
32538,67787,NIFTY26DEC2826000PE,NIFTY,26DEC2028,2600000.000000,75,OPTIDX,NFO,5.000000
32539,67797,NIFTY26DEC2831000PE,NIFTY,26DEC2028,3100000.000000,75,OPTIDX,NFO,5.000000
32558,51453,NIFTY30JUN2621000CE,NIFTY,30JUN2026,2100000.000000,75,OPTIDX,NFO,5.000000
32603,53604,NIFTY28DEC2718000PE,NIFTY,28DEC2027,1800000.000000,75,OPTIDX,NFO,5.000000
32604,53607,NIFTY28DEC2720000CE,NIFTY,28DEC2027,2000000.000000,75,OPTIDX,NFO,5.000000
32648,56919,NIFTY23DEC2524200CE,NIFTY,23DEC2025,2420000.000000,75,OPTIDX,NFO,5.000000
32649,56925,NIFTY23DEC2524350CE,NIFTY,23DEC2025,2435000.000000,75,OPTIDX,NFO,5.000000
32650,56941,NIFTY23DEC2524750CE,NIFTY,23DEC2025,2475000.000000,75,OPTIDX,NFO,5.000000
32651,56969,NIFTY23DEC2525400PE,NIFTY,23DEC2025,2540000.000000,75,OPTIDX,NFO,5.000000
32652,56995,NIFTY23DEC2525850PE,NIFTY,23DEC2025,2585000.000000,75,OPTIDX,NFO,5.000000
32653,57004,NIFTY23DEC2525950PE,NIFTY,23DEC2025,2595000.000000,75,OPTIDX,NFO,5.000000
32654,57008,NIFTY23DEC2526000PE,NIFTY,23DEC2025,2600000.000000,75,OPTIDX,NFO,5.000000
32655,57010,NIFTY23DEC2526050PE,NIFTY,23DEC2025,2605000.000000,75,OPTIDX,NFO,5.000000
32656,57036,NIFTY23DEC2526550CE,NIFTY,23DEC2025,2655000.000000,75,OPTIDX,NFO,5.000000
32657,57044,NIFTY23DEC2526750CE,NIFTY,23DEC2025,2675000.000000,75,OPTIDX,NFO,5.000000
32658,57052,NIFTY23DEC2526950CE,NIFTY,23DEC2025,2695000.000000,75,OPTIDX,NFO,5.000000
32659,57064,NIFTY23DEC2527250CE,NIFTY,23DEC2025,2725000.000000,75,OPTIDX,NFO,5.000000
32660,57070,NIFTY23DEC2527400CE,NIFTY,23DEC2025,2740000.000000,75,OPTIDX,NFO,5.000000
32661,57073,NIFTY23DEC2527450PE,NIFTY,23DEC2025,2745000.000000,75,OPTIDX,NFO,5.000000
32662,57078,NIFTY23DEC2527600CE,NIFTY,23DEC2025,2760000.000000,75,OPTIDX,NFO,5.000000
32663,57093,NIFTY23DEC2527950CE,NIFTY,23DEC2025,2795000.000000,75,OPTIDX,NFO,5.000000
32690,58575,NIFTY27JAN2624000CE,NIFTY,27JAN2026,2400000.000000,65,OPTIDX,NFO,5.000000
32691,58588,NIFTY27JAN2624300PE,NIFTY,27JAN2026,2430000.000000,65,OPTIDX,NFO,5.000000
32692,58593,NIFTY27JAN2624450CE,NIFTY,27JAN2026,2445000.000000,65,OPTIDX,NFO,5.000000
32693,58598,NIFTY27JAN2624550PE,NIFTY,27JAN2026,2455000.000000,65,OPTIDX,NFO,5.000000
32694,58604,NIFTY27JAN2624700CE,NIFTY,27JAN2026,2470000.000000,65,OPTIDX,NFO,5.000000
32695,58652,NIFTY27JAN2624950PE,NIFTY,27JAN2026,2495000.000000,65,OPTIDX,NFO,5.000000
32696,58661,NIFTY27JAN2625000CE,NIFTY,27JAN2026,2500000.000000,65,OPTIDX,NFO,5.000000
32698,58704,NIFTY27JAN2625350PE,NIFTY,27JAN2026,2535000.000000,65,OPTIDX,NFO,5.000000
32699,58720,NIFTY27JAN2625550CE,NIFTY,27JAN2026,2555000.000000,65,OPTIDX,NFO,5.000000
32700,58725,NIFTY27JAN2625600CE,NIFTY,27JAN2026,2560000.000000,65,OPTIDX,NFO,5.000000
32701,58800,NIFTY27JAN2625950PE,NIFTY,27JAN2026,2595000.000000,65,OPTIDX,NFO,5.000000
32702,58820,NIFTY27JAN2626450PE,NIFTY,27JAN2026,2645000.000000,65,OPTIDX,NFO,5.000000
32703,58829,NIFTY27JAN2626650CE,NIFTY,27JAN2026,2665000.000000,65,OPTIDX,NFO,5.000000
32704,58834,NIFTY27JAN2626750PE,NIFTY,27JAN2026,2675000.000000,65,OPTIDX,NFO,5.000000
32705,58837,NIFTY27JAN2626850CE,NIFTY,27JAN2026,2685000.000000,65,OPTIDX,NFO,5.000000
32706,58838,NIFTY27JAN2626850PE,NIFTY,27JAN2026,2685000.000000,65,OPTIDX,NFO,5.000000
32707,58839,NIFTY27JAN2626900CE,NIFTY,27JAN2026,2690000.000000,65,OPTIDX,NFO,5.000000
32708,58845,NIFTY27JAN2627050CE,NIFTY,27JAN2026,2705000.000000,65,OPTIDX,NFO,5.000000
32709,58854,NIFTY27JAN2627250PE,NIFTY,27JAN2026,2725000.000000,65,OPTIDX,NFO,5.000000
32710,58861,NIFTY27JAN2627400PE,NIFTY,27JAN2026,2740000.000000,65,OPTIDX,NFO,5.000000
32711,58841,NIFTY27JAN2626950CE,NIFTY,27JAN2026,2695000.000000,65,OPTIDX,NFO,5.000000
32712,58880,NIFTY27JAN2627800PE,NIFTY,27JAN2026,2780000.000000,65,OPTIDX,NFO,5.000000
32794,60894,NIFTY25JUN3019000CE,NIFTY,25JUN2030,1900000.000000,75,OPTIDX,NFO,5.000000
32795,60904,NIFTY25JUN3024000CE,NIFTY,25JUN2030,2400000.000000,75,OPTIDX,NFO,5.000000
32796,60909,NIFTY25JUN3026000PE,NIFTY,25JUN2030,2600000.000000,75,OPTIDX,NFO,5.000000
32797,60910,NIFTY25JUN3027000CE,NIFTY,25JUN2030,2700000.000000,75,OPTIDX,NFO,5.000000
32842,61659,NIFTY24DEC2921000CE,NIFTY,24DEC2029,2100000.000000,75,OPTIDX,NFO,5.000000
32843,61660,NIFTY24DEC2921000PE,NIFTY,24DEC2029,2100000.000000,75,OPTIDX,NFO,5.000000
32846,61748,NIFTY24DEC2924000CE,NIFTY,24DEC2029,2400000.000000,75,OPTIDX,NFO,5.000000
32849,61859,NIFTY24DEC2928000PE,NIFTY,24DEC2029,2800000.000000,75,OPTIDX,NFO,5.000000
32992,64784,NIFTY24FEB2624000CE,NIFTY,24FEB2026,2400000.000000,65,OPTIDX,NFO,5.000000
32993,64795,NIFTY24FEB2624150PE,NIFTY,24FEB2026,2415000.000000,65,OPTIDX,NFO,5.000000
32994,64806,NIFTY24FEB2624450CE,NIFTY,24FEB2026,2445000.000000,65,OPTIDX,NFO,5.000000
32995,64824,NIFTY24FEB2624850PE,NIFTY,24FEB2026,2485000.000000,65,OPTIDX,NFO,5.000000
32996,64849,NIFTY24FEB2625400PE,NIFTY,24FEB2026,2540000.000000,65,OPTIDX,NFO,5.000000
32997,64853,NIFTY24FEB2625500PE,NIFTY,24FEB2026,2550000.000000,65,OPTIDX,NFO,5.000000
32998,64856,NIFTY24FEB2625600CE,NIFTY,24FEB2026,2560000.000000,65,OPTIDX,NFO,5.000000
32999,64866,NIFTY24FEB2625850CE,NIFTY,24FEB2026,2585000.000000,65,OPTIDX,NFO,5.000000
33000,64926,NIFTY24FEB2626350CE,NIFTY,24FEB2026,2635000.000000,65,OPTIDX,NFO,5.000000
33001,64955,NIFTY24FEB2626500PE,NIFTY,24FEB2026,2650000.000000,65,OPTIDX,NFO,5.000000
33002,64988,NIFTY24FEB2626700PE,NIFTY,24FEB2026,2670000.000000,65,OPTIDX,NFO,5.000000
33005,65055,NIFTY24FEB2626750PE,NIFTY,24FEB2026,2675000.000000,65,OPTIDX,NFO,5.000000
33006,65092,NIFTY24FEB2627350PE,NIFTY,24FEB2026,2735000.000000,65,OPTIDX,NFO,5.000000
33007,65097,NIFTY24FEB2627500CE,NIFTY,24FEB2026,2750000.000000,65,OPTIDX,NFO,5.000000
33008,65104,NIFTY24FEB2627600PE,NIFTY,24FEB2026,2760000.000000,65,OPTIDX,NFO,5.000000
33009,65117,NIFTY24FEB2627950CE,NIFTY,24FEB2026,2795000.000000,65,OPTIDX,NFO,5.000000
33010,65150,NIFTY30DEC2523300PE,NIFTY,30DEC2025,2330000.000000,75,OPTIDX,NFO,5.000000
33011,65196,NIFTY30DEC2523500CE,NIFTY,30DEC2025,2350000.000000,75,OPTIDX,NFO,5.000000
33012,65212,NIFTY30DEC2523650PE,NIFTY,30DEC2025,2365000.000000,75,OPTIDX,NFO,5.000000
33016,65269,NIFTY30DEC2524500PE,NIFTY,30DEC2025,2450000.000000,75,OPTIDX,NFO,5.000000
33017,65317,NIFTY30DEC2524700PE,NIFTY,30DEC2025,2470000.000000,75,OPTIDX,NFO,5.000000
33018,65335,NIFTY30DEC2524850CE,NIFTY,30DEC2025,2485000.000000,75,OPTIDX,NFO,5.000000
33019,65351,NIFTY30DEC2524950CE,NIFTY,30DEC2025,2495000.000000,75,OPTIDX,NFO,5.000000
33020,65354,NIFTY30DEC2525050PE,NIFTY,30DEC2025,2505000.000000,75,OPTIDX,NFO,5.000000
33024,65433,NIFTY30DEC2525200CE,NIFTY,30DEC2025,2520000.000000,75,OPTIDX,NFO,5.000000
33025,65435,NIFTY30DEC2525250CE,NIFTY,30DEC2025,2525000.000000,75,OPTIDX,NFO,5.000000
33026,65533,NIFTY30DEC2525450CE,NIFTY,30DEC2025,2545000.000000,75,OPTIDX,NFO,5.000000
